policy,epsilon,node_count,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_mbs,cache_hit_ratio,availability,fairness_index,stddev_latency_ms
epsilon-greedy,0.10,10,5.25,5.00,9.67,17.13,174.5936,0.9900,1.0000,0.7080,0.02
decaying-epsilon,0.00,10,4.88,5.00,8.35,11.04,187.0302,0.9900,1.0000,0.8412,0.12
ucb1,0.00,10,5.03,5.00,8.67,10.73,181.9060,0.9900,1.0000,0.8271,0.34
thompson,0.00,10,4.91,5.00,9.67,11.08,187.9367,0.9900,1.0000,0.7037,0.24
contextual,0.00,10,5.18,5.00,9.03,15.71,177.8506,0.9900,1.0000,0.7811,0.12
latency,0.00,10,5.05,5.00,8.67,13.04,180.8097,0.9900,1.0000,0.8049,0.21
random,0.00,10,5.31,5.00,10.15,17.72,173.9118,0.9900,1.0000,0.7013,0.30
