policy,epsilon,node_count,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_mbs,cache_hit_ratio,availability,fairness_index,stddev_latency_ms,ci95_lower,ci95_upper
epsilon-greedy,0.10,5,5.71,5.10,9.84,16.27,164.8111,0.9900,1.0000,0.8190,0.73,5.19,6.23
decaying-epsilon,0.00,5,5.76,5.20,9.01,18.85,165.5659,0.9900,1.0000,0.8108,1.13,4.95,6.57
ucb1,0.00,5,5.13,5.00,7.41,11.26,181.1770,0.9900,1.0000,0.8972,0.36,4.88,5.39
thompson,0.00,5,5.58,5.10,8.64,15.86,168.5553,0.9900,1.0000,0.8399,0.82,4.99,6.17
contextual,0.00,5,5.57,5.10,8.13,17.69,168.3560,0.9900,1.0000,0.7948,0.66,5.09,6.05
latency,0.00,5,5.37,5.05,8.03,16.35,175.1042,0.9900,1.0000,0.8428,0.94,4.70,6.04
random,0.00,5,5.25,5.00,8.02,11.46,178.2867,0.9900,1.0000,0.8945,0.59,4.82,5.67
