request_index,elapsed_s,latency_ms
0,0.019,19.00
1,0.028,8.00
2,0.038,10.00
3,0.051,13.00
4,0.065,13.00
5,0.076,11.00
6,0.084,8.00
7,0.102,18.00
8,0.117,14.00
9,0.132,14.00
10,0.144,12.00
11,0.154,9.00
12,0.164,10.00
13,0.180,16.00
14,0.193,13.00
15,0.211,17.00
16,0.225,13.00
17,0.239,14.00
18,0.254,14.00
19,0.270,15.00
20,0.286,15.00
21,0.300,14.00
22,0.311,10.00
23,0.327,16.00
24,0.340,13.00
25,0.354,13.00
26,0.364,10.00
27,0.378,14.00
28,0.388,9.00
29,0.398,10.00
30,0.406,8.00
31,0.415,9.00
32,0.424,8.00
33,0.431,7.00
34,0.438,6.00
35,0.444,6.00
36,0.452,8.00
37,0.461,9.00
38,0.461,0.00
39,0.461,0.00
40,0.461,0.00
41,0.482,21.00
42,0.487,4.00
43,0.495,8.00
44,0.500,5.00
45,0.505,4.00
46,0.513,7.00
47,0.513,0.00
48,0.513,0.00
49,0.529,16.00
50,0.536,6.00
51,0.540,4.00
52,0.547,6.00
53,0.550,3.00
54,0.558,8.00
55,0.566,8.00
56,0.576,10.00
57,0.582,5.00
58,0.588,5.00
59,0.592,4.00
60,0.599,6.00
61,0.600,0.00
62,0.608,8.00
63,0.614,5.00
64,0.617,3.00
65,0.624,6.00
66,0.632,7.00
67,0.638,6.00
68,0.640,2.00
69,0.649,8.00
70,0.649,0.00
71,0.659,10.00
72,0.659,0.00
73,0.671,12.00
74,0.671,0.00
75,0.682,11.00
76,0.687,4.00
77,0.691,4.00
78,0.691,0.00
79,0.703,11.00
80,0.703,0.00
81,0.712,8.00
82,0.712,0.00
83,0.722,10.00
84,0.728,5.00
85,0.733,5.00
86,0.736,3.00
87,0.743,7.00
88,0.743,0.00
89,0.753,10.00
90,0.753,0.00
91,0.764,10.00
92,0.767,3.00
93,0.774,6.00
94,0.777,2.00
95,0.788,10.00
96,0.790,2.00
97,0.795,5.00
98,0.800,5.00
99,0.805,5.00
