request_index,elapsed_s,latency_ms
0,0.010,10.00
1,0.016,5.00
2,0.021,5.00
3,0.038,16.00
4,0.044,6.00
5,0.049,5.00
6,0.055,6.00
7,0.061,5.00
8,0.067,5.00
9,0.073,5.00
10,0.077,4.00
11,0.083,6.00
12,0.088,5.00
13,0.093,5.00
14,0.098,5.00
15,0.103,4.00
16,0.109,5.00
17,0.115,5.00
18,0.120,5.00
19,0.125,4.00
20,0.129,4.00
21,0.135,5.00
22,0.141,5.00
23,0.146,5.00
24,0.152,5.00
25,0.156,4.00
26,0.161,4.00
27,0.166,5.00
28,0.172,6.00
29,0.177,5.00
30,0.183,5.00
31,0.187,4.00
32,0.193,5.00
33,0.198,5.00
34,0.204,5.00
35,0.209,4.00
36,0.214,5.00
37,0.219,5.00
38,0.224,5.00
39,0.229,5.00
40,0.234,4.00
41,0.240,5.00
42,0.244,4.00
43,0.249,4.00
44,0.254,5.00
45,0.259,5.00
46,0.264,4.00
47,0.268,4.00
48,0.273,5.00
49,0.279,5.00
50,0.284,5.00
51,0.290,5.00
52,0.295,5.00
53,0.300,5.00
54,0.305,5.00
55,0.311,5.00
56,0.315,3.00
57,0.321,6.00
58,0.327,6.00
59,0.333,5.00
60,0.339,6.00
61,0.345,5.00
62,0.351,6.00
63,0.358,6.00
64,0.364,6.00
65,0.369,5.00
66,0.392,22.00
67,0.397,5.00
68,0.402,4.00
69,0.407,5.00
70,0.413,5.00
71,0.417,4.00
72,0.423,5.00
73,0.427,4.00
74,0.433,5.00
75,0.438,5.00
76,0.443,5.00
77,0.448,5.00
78,0.452,3.00
79,0.458,6.00
80,0.463,4.00
81,0.468,4.00
82,0.473,5.00
83,0.478,5.00
84,0.483,4.00
85,0.488,5.00
86,0.494,5.00
87,0.499,5.00
88,0.504,5.00
89,0.509,4.00
90,0.514,4.00
91,0.519,5.00
92,0.524,4.00
93,0.529,4.00
94,0.534,5.00
95,0.538,4.00
96,0.544,5.00
97,0.549,5.00
98,0.554,4.00
99,0.559,5.00
