request_index,elapsed_s,latency_ms
0,0.019,18.00
1,0.024,5.00
2,0.029,5.00
3,0.034,5.00
4,0.039,4.00
5,0.044,5.00
6,0.049,4.00
7,0.054,4.00
8,0.057,3.00
9,0.064,6.00
10,0.066,2.00
11,0.073,7.00
12,0.076,2.00
13,0.085,9.00
14,0.090,4.00
15,0.095,5.00
16,0.096,0.00
17,0.105,8.00
18,0.111,6.00
19,0.112,1.00
20,0.117,4.00
21,0.123,5.00
22,0.132,8.00
23,0.145,13.00
24,0.151,5.00
25,0.156,4.00
26,0.161,5.00
27,0.166,5.00
28,0.171,5.00
29,0.176,5.00
30,0.181,5.00
31,0.184,2.00
32,0.191,7.00
33,0.196,4.00
34,0.201,5.00
35,0.205,3.00
36,0.212,6.00
37,0.217,4.00
38,0.222,5.00
39,0.226,4.00
40,0.231,5.00
41,0.237,5.00
42,0.242,5.00
43,0.248,5.00
44,0.253,5.00
45,0.259,5.00
46,0.265,6.00
47,0.269,4.00
48,0.272,2.00
49,0.281,9.00
50,0.288,6.00
51,0.292,4.00
52,0.298,6.00
53,0.303,5.00
54,0.308,4.00
55,0.313,5.00
56,0.313,0.00
57,0.323,9.00
58,0.328,5.00
59,0.332,3.00
60,0.338,6.00
61,0.344,6.00
62,0.346,2.00
63,0.352,5.00
64,0.358,5.00
65,0.363,5.00
66,0.363,0.00
67,0.372,8.00
68,0.379,6.00
69,0.384,5.00
70,0.389,4.00
71,0.395,5.00
72,0.401,6.00
73,0.406,5.00
74,0.415,9.00
75,0.422,6.00
76,0.427,5.00
77,0.435,7.00
78,0.442,6.00
79,0.448,6.00
80,0.453,4.00
81,0.457,4.00
82,0.463,5.00
83,0.469,5.00
84,0.473,4.00
85,0.477,3.00
86,0.482,5.00
87,0.489,6.00
88,0.494,5.00
89,0.500,6.00
90,0.506,5.00
91,0.511,5.00
92,0.517,5.00
93,0.521,4.00
94,0.524,2.00
95,0.533,9.00
96,0.533,0.00
97,0.542,8.00
98,0.549,7.00
99,0.555,6.00
