request_index,elapsed_s,latency_ms
0,0.012,11.00
1,0.018,5.00
2,0.024,5.00
3,0.029,5.00
4,0.034,5.00
5,0.039,4.00
6,0.044,5.00
7,0.049,5.00
8,0.059,10.00
9,0.064,5.00
10,0.070,5.00
11,0.076,6.00
12,0.081,5.00
13,0.086,4.00
14,0.092,6.00
15,0.096,4.00
16,0.101,5.00
17,0.108,6.00
18,0.113,5.00
19,0.118,5.00
20,0.124,5.00
21,0.129,5.00
22,0.134,5.00
23,0.140,6.00
24,0.146,5.00
25,0.150,4.00
26,0.157,6.00
27,0.162,5.00
28,0.167,4.00
29,0.173,6.00
30,0.178,4.00
31,0.184,5.00
32,0.190,5.00
33,0.195,5.00
34,0.200,5.00
35,0.205,5.00
36,0.210,4.00
37,0.215,5.00
38,0.220,4.00
39,0.225,5.00
40,0.231,6.00
41,0.237,5.00
42,0.241,4.00
43,0.247,6.00
44,0.252,4.00
45,0.258,5.00
46,0.262,4.00
47,0.269,6.00
48,0.274,5.00
49,0.280,5.00
50,0.286,5.00
51,0.290,4.00
52,0.296,6.00
53,0.301,5.00
54,0.307,5.00
55,0.312,4.00
56,0.317,5.00
57,0.337,19.00
58,0.342,4.00
59,0.348,6.00
60,0.353,5.00
61,0.362,8.00
62,0.370,8.00
63,0.375,5.00
64,0.386,10.00
65,0.395,9.00
66,0.401,6.00
67,0.413,11.00
68,0.419,6.00
69,0.426,6.00
70,0.447,21.00
71,0.453,5.00
72,0.458,5.00
73,0.464,5.00
74,0.469,5.00
75,0.474,5.00
76,0.480,5.00
77,0.485,5.00
78,0.490,4.00
79,0.495,5.00
80,0.500,4.00
81,0.506,5.00
82,0.510,4.00
83,0.516,6.00
84,0.522,5.00
85,0.528,6.00
86,0.533,5.00
87,0.538,4.00
88,0.544,5.00
89,0.549,5.00
90,0.554,5.00
91,0.559,5.00
92,0.565,5.00
93,0.571,5.00
94,0.575,4.00
95,0.580,5.00
96,0.586,5.00
97,0.591,5.00
98,0.596,4.00
99,0.602,5.00
