request_index,elapsed_s,latency_ms
0,0.009,9.00
1,0.016,6.00
2,0.021,5.00
3,0.026,5.00
4,0.032,5.00
5,0.037,5.00
6,0.042,4.00
7,0.048,5.00
8,0.053,5.00
9,0.058,5.00
10,0.063,4.00
11,0.068,5.00
12,0.072,4.00
13,0.078,6.00
14,0.083,4.00
15,0.088,4.00
16,0.093,5.00
17,0.098,4.00
18,0.103,4.00
19,0.108,5.00
20,0.113,5.00
21,0.118,5.00
22,0.123,5.00
23,0.128,4.00
24,0.133,5.00
25,0.139,5.00
26,0.144,5.00
27,0.148,4.00
28,0.154,6.00
29,0.158,4.00
30,0.164,5.00
31,0.169,4.00
32,0.174,5.00
33,0.178,4.00
34,0.184,6.00
35,0.189,4.00
36,0.195,5.00
37,0.199,4.00
38,0.204,4.00
39,0.210,6.00
40,0.214,4.00
41,0.220,5.00
42,0.224,4.00
43,0.230,5.00
44,0.234,4.00
45,0.240,5.00
46,0.244,4.00
47,0.250,6.00
48,0.255,5.00
49,0.260,4.00
50,0.265,4.00
51,0.270,5.00
52,0.275,4.00
53,0.280,5.00
54,0.284,4.00
55,0.290,5.00
56,0.295,5.00
57,0.300,4.00
58,0.305,5.00
59,0.310,5.00
60,0.314,4.00
61,0.320,5.00
62,0.325,4.00
63,0.330,5.00
64,0.335,5.00
65,0.341,5.00
66,0.346,5.00
67,0.350,4.00
68,0.355,5.00
69,0.360,4.00
70,0.365,4.00
71,0.370,5.00
72,0.375,5.00
73,0.380,5.00
74,0.385,5.00
75,0.390,4.00
76,0.394,4.00
77,0.400,6.00
78,0.405,4.00
79,0.410,5.00
80,0.414,4.00
81,0.420,5.00
82,0.425,4.00
83,0.431,6.00
84,0.435,4.00
85,0.441,5.00
86,0.446,4.00
87,0.451,5.00
88,0.456,4.00
89,0.461,5.00
90,0.466,5.00
91,0.471,4.00
92,0.476,4.00
93,0.481,5.00
94,0.485,4.00
95,0.491,5.00
96,0.497,5.00
97,0.501,4.00
98,0.506,5.00
99,0.511,4.00
