request_index,elapsed_s,latency_ms
0,0.086,85.00
1,0.100,14.00
2,0.110,10.00
3,0.131,20.00
4,0.163,32.00
5,0.181,17.00
6,0.197,16.00
7,0.227,29.00
8,0.334,107.00
9,0.349,15.00
10,0.404,55.00
11,0.445,40.00
12,0.473,27.00
13,0.496,22.00
14,0.519,23.00
15,0.531,11.00
16,0.543,11.00
17,0.560,17.00
18,0.570,10.00
19,0.575,5.00
20,0.581,6.00
21,0.587,5.00
22,0.592,5.00
23,0.599,6.00
24,0.606,6.00
25,0.615,9.00
26,0.622,6.00
27,0.638,15.00
28,0.658,19.00
29,0.685,27.00
30,0.709,23.00
31,0.731,21.00
32,0.748,16.00
33,0.764,16.00
34,0.789,24.00
35,0.839,49.00
36,0.868,29.00
37,0.886,18.00
38,0.904,18.00
39,0.921,16.00
40,0.934,12.00
41,0.949,15.00
42,0.965,15.00
43,0.983,17.00
44,0.991,8.00
45,1.002,11.00
46,1.024,22.00
47,1.053,29.00
48,1.069,15.00
49,1.092,22.00
50,1.119,27.00
51,1.143,24.00
52,1.163,19.00
53,1.208,45.00
54,1.236,27.00
55,1.275,39.00
56,1.316,40.00
57,1.349,33.00
58,1.363,14.00
59,1.380,17.00
60,1.402,21.00
61,1.409,7.00
62,1.417,7.00
63,1.430,13.00
64,1.437,7.00
65,1.447,9.00
66,1.471,23.00
67,1.494,23.00
68,1.511,16.00
69,1.524,13.00
70,1.539,14.00
71,1.555,16.00
72,1.572,16.00
73,1.591,18.00
74,2.165,574.00
75,2.225,60.00
76,2.240,14.00
77,2.260,19.00
78,2.280,19.00
79,2.292,12.00
80,2.366,74.00
81,2.586,219.00
82,2.614,28.00
83,2.633,19.00
84,2.651,17.00
85,2.664,13.00
86,2.682,17.00
87,2.700,18.00
88,2.709,8.00
89,2.783,74.00
90,2.791,8.00
91,2.807,15.00
92,2.814,7.00
93,2.831,16.00
94,2.843,11.00
95,2.854,10.00
96,2.860,6.00
97,2.964,103.00
98,2.972,7.00
99,3.000,27.00
