request_index,elapsed_s,latency_ms
0,0.022,21.00
1,0.029,7.00
2,0.038,9.00
3,0.045,6.00
4,0.055,9.00
5,0.062,7.00
6,0.077,14.00
7,0.082,5.00
8,0.091,9.00
9,0.101,9.00
10,0.108,6.00
11,0.113,5.00
12,0.118,5.00
13,0.124,5.00
14,0.128,4.00
15,0.134,5.00
16,0.140,5.00
17,0.145,5.00
18,0.150,5.00
19,0.155,5.00
20,0.160,5.00
21,0.165,5.00
22,0.171,6.00
23,0.179,7.00
24,0.185,6.00
25,0.191,5.00
26,0.195,4.00
27,0.201,5.00
28,0.207,5.00
29,0.211,4.00
30,0.215,3.00
31,0.221,6.00
32,0.226,4.00
33,0.231,4.00
34,0.238,6.00
35,0.243,5.00
36,0.248,5.00
37,0.254,6.00
38,0.259,4.00
39,0.264,5.00
40,0.269,5.00
41,0.274,5.00
42,0.279,5.00
43,0.285,5.00
44,0.290,5.00
45,0.296,5.00
46,0.301,5.00
47,0.305,4.00
48,0.311,5.00
49,0.330,18.00
50,0.334,4.00
51,0.340,5.00
52,0.344,4.00
53,0.349,4.00
54,0.355,5.00
55,0.359,4.00
56,0.365,5.00
57,0.370,4.00
58,0.375,5.00
59,0.380,5.00
60,0.385,5.00
61,0.391,5.00
62,0.395,4.00
63,0.400,5.00
64,0.405,4.00
65,0.411,6.00
66,0.417,5.00
67,0.422,5.00
68,0.427,5.00
69,0.431,4.00
70,0.437,5.00
71,0.443,6.00
72,0.448,5.00
73,0.452,4.00
74,0.457,4.00
75,0.463,5.00
76,0.468,5.00
77,0.473,5.00
78,0.477,4.00
79,0.482,5.00
80,0.488,5.00
81,0.493,5.00
82,0.497,4.00
83,0.503,5.00
84,0.509,6.00
85,0.513,4.00
86,0.519,5.00
87,0.523,4.00
88,0.528,5.00
89,0.533,4.00
90,0.539,5.00
91,0.543,4.00
92,0.548,4.00
93,0.553,5.00
94,0.558,5.00
95,0.564,5.00
96,0.568,4.00
97,0.573,5.00
98,0.578,5.00
99,0.583,4.00
