request_index,elapsed_s,latency_ms
0,0.036,36.00
1,0.042,5.00
2,0.048,5.00
3,0.052,4.00
4,0.056,4.00
5,0.063,6.00
6,0.068,5.00
7,0.076,8.00
8,0.083,6.00
9,0.088,5.00
10,0.094,5.00
11,0.096,2.00
12,0.108,11.00
13,0.112,4.00
14,0.119,6.00
15,0.124,5.00
16,0.128,3.00
17,0.135,7.00
18,0.140,4.00
19,0.146,6.00
20,0.151,4.00
21,0.158,6.00
22,0.163,4.00
23,0.170,6.00
24,0.173,3.00
25,0.179,6.00
26,0.200,20.00
27,0.206,5.00
28,0.211,4.00
29,0.216,5.00
30,0.221,5.00
31,0.226,5.00
32,0.232,5.00
33,0.237,5.00
34,0.240,3.00
35,0.247,7.00
36,0.252,4.00
37,0.259,6.00
38,0.263,4.00
39,0.269,6.00
40,0.274,4.00
41,0.278,4.00
42,0.287,8.00
43,0.290,3.00
44,0.296,6.00
45,0.302,5.00
46,0.308,6.00
47,0.313,4.00
48,0.317,4.00
49,0.324,6.00
50,0.329,4.00
51,0.335,6.00
52,0.340,4.00
53,0.345,5.00
54,0.347,2.00
55,0.356,8.00
56,0.362,6.00
57,0.368,5.00
58,0.373,4.00
59,0.377,4.00
60,0.383,6.00
61,0.388,4.00
62,0.393,5.00
63,0.396,3.00
64,0.404,7.00
65,0.407,3.00
66,0.414,6.00
67,0.419,4.00
68,0.437,17.00
69,0.441,4.00
70,0.451,9.00
71,0.456,5.00
72,0.463,6.00
73,0.468,5.00
74,0.475,7.00
75,0.480,4.00
76,0.486,5.00
77,0.490,4.00
78,0.496,6.00
79,0.502,5.00
80,0.507,5.00
81,0.508,1.00
82,0.517,9.00
83,0.519,1.00
84,0.528,9.00
85,0.531,3.00
86,0.540,8.00
87,0.540,0.00
88,0.549,8.00
89,0.553,3.00
90,0.559,6.00
91,0.566,6.00
92,0.570,3.00
93,0.576,6.00
94,0.580,3.00
95,0.587,6.00
96,0.591,4.00
97,0.597,6.00
98,0.602,4.00
99,0.615,13.00
