request_index,elapsed_s,latency_ms
0,0.009,9.00
1,0.015,5.00
2,0.020,5.00
3,0.026,6.00
4,0.030,3.00
5,0.037,6.00
6,0.043,6.00
7,0.048,4.00
8,0.051,3.00
9,0.057,5.00
10,0.088,31.00
11,0.094,5.00
12,0.099,5.00
13,0.104,5.00
14,0.109,4.00
15,0.114,5.00
16,0.118,4.00
17,0.124,5.00
18,0.129,4.00
19,0.134,5.00
20,0.139,4.00
21,0.145,5.00
22,0.151,5.00
23,0.156,5.00
24,0.161,4.00
25,0.167,6.00
26,0.173,5.00
27,0.178,5.00
28,0.183,5.00
29,0.190,6.00
30,0.212,21.00
31,0.217,5.00
32,0.222,5.00
33,0.227,4.00
34,0.232,5.00
35,0.237,4.00
36,0.242,4.00
37,0.248,5.00
38,0.250,2.00
39,0.257,7.00
40,0.260,2.00
41,0.268,7.00
42,0.273,4.00
43,0.278,5.00
44,0.283,5.00
45,0.286,3.00
46,0.294,7.00
47,0.298,4.00
48,0.302,4.00
49,0.307,5.00
50,0.313,6.00
51,0.318,4.00
52,0.323,4.00
53,0.327,4.00
54,0.333,5.00
55,0.339,5.00
56,0.346,7.00
57,0.352,5.00
58,0.357,4.00
59,0.362,5.00
60,0.367,4.00
61,0.370,3.00
62,0.378,7.00
63,0.380,2.00
64,0.386,6.00
65,0.393,6.00
66,0.398,4.00
67,0.403,5.00
68,0.406,3.00
69,0.411,4.00
70,0.418,6.00
71,0.422,4.00
72,0.426,4.00
73,0.434,7.00
74,0.440,5.00
75,0.445,4.00
76,0.447,2.00
77,0.452,5.00
78,0.460,8.00
79,0.466,5.00
80,0.471,5.00
81,0.477,6.00
82,0.482,4.00
83,0.490,8.00
84,0.493,3.00
85,0.497,4.00
86,0.505,7.00
87,0.507,1.00
88,0.514,6.00
89,0.520,6.00
90,0.525,5.00
91,0.528,2.00
92,0.536,7.00
93,0.537,1.00
94,0.546,8.00
95,0.552,6.00
96,0.557,4.00
97,0.562,4.00
98,0.567,5.00
99,0.573,5.00
