request_index,elapsed_s,latency_ms
0,0.015,14.00
1,0.021,5.00
2,0.029,8.00
3,0.039,9.00
4,0.050,11.00
5,0.057,7.00
6,0.064,6.00
7,0.072,8.00
8,0.080,8.00
9,0.088,7.00
10,0.094,5.00
11,0.100,6.00
12,0.109,8.00
13,0.116,7.00
14,0.122,6.00
15,0.131,8.00
16,0.138,7.00
17,0.145,7.00
18,0.152,7.00
19,0.157,4.00
20,0.165,8.00
21,0.171,6.00
22,0.177,6.00
23,0.182,4.00
24,0.187,4.00
25,0.193,6.00
26,0.208,14.00
27,0.219,11.00
28,0.224,5.00
29,0.231,6.00
30,0.238,6.00
31,0.243,5.00
32,0.249,5.00
33,0.256,6.00
34,0.261,5.00
35,0.265,4.00
36,0.273,7.00
37,0.278,4.00
38,0.287,9.00
39,0.294,7.00
40,0.300,5.00
41,0.306,6.00
42,0.311,5.00
43,0.316,5.00
44,0.323,6.00
45,0.329,6.00
46,0.336,6.00
47,0.343,6.00
48,0.348,5.00
49,0.353,5.00
50,0.359,5.00
51,0.366,7.00
52,0.372,6.00
53,0.378,6.00
54,0.386,7.00
55,0.391,5.00
56,0.396,5.00
57,0.404,8.00
58,0.409,4.00
59,0.415,6.00
60,0.422,6.00
61,0.428,5.00
62,0.433,5.00
63,0.437,4.00
64,0.443,6.00
65,0.450,6.00
66,0.458,8.00
67,0.465,7.00
68,0.472,6.00
69,0.475,2.00
70,0.482,7.00
71,0.482,0.00
72,0.493,11.00
73,0.493,0.00
74,0.506,12.00
75,0.512,6.00
76,0.515,3.00
77,0.523,7.00
78,0.530,7.00
79,0.538,7.00
80,0.542,4.00
81,0.550,8.00
82,0.556,6.00
83,0.561,5.00
84,0.567,5.00
85,0.573,6.00
86,0.578,4.00
87,0.582,4.00
88,0.591,8.00
89,0.597,5.00
90,0.603,5.00
91,0.608,5.00
92,0.615,7.00
93,0.615,0.00
94,0.624,9.00
95,0.633,8.00
96,0.637,4.00
97,0.644,6.00
98,0.649,5.00
99,0.654,5.00
