request_index,elapsed_s,latency_ms
0,0.045,44.00
1,0.056,10.00
2,0.065,9.00
3,0.075,9.00
4,0.084,8.00
5,0.094,10.00
6,0.103,8.00
7,0.110,7.00
8,0.124,13.00
9,0.138,14.00
10,0.147,8.00
11,0.174,27.00
12,0.185,10.00
13,0.193,8.00
14,0.202,8.00
15,0.209,7.00
16,0.214,5.00
17,0.224,10.00
18,0.233,8.00
19,0.237,3.00
20,0.249,12.00
21,0.266,16.00
22,0.275,8.00
23,0.283,8.00
24,0.291,7.00
25,0.297,6.00
26,0.307,9.00
27,0.315,8.00
28,0.322,7.00
29,0.330,7.00
30,0.338,8.00
31,0.348,9.00
32,0.356,7.00
33,0.363,7.00
34,0.372,9.00
35,0.381,8.00
36,0.386,5.00
37,0.394,7.00
38,0.404,10.00
39,0.408,3.00
40,0.421,13.00
41,0.428,6.00
42,0.437,8.00
43,0.443,6.00
44,0.453,9.00
45,0.463,10.00
46,0.469,5.00
47,0.477,8.00
48,0.485,7.00
49,0.492,6.00
50,0.502,9.00
51,0.507,5.00
52,0.513,5.00
53,0.522,9.00
54,0.530,7.00
55,0.538,8.00
56,0.544,6.00
57,0.554,9.00
58,0.558,4.00
59,0.565,6.00
60,0.576,11.00
61,0.576,0.00
62,0.590,13.00
63,0.597,7.00
64,0.605,8.00
65,0.627,22.00
66,0.635,7.00
67,0.644,9.00
68,0.652,7.00
69,0.659,6.00
70,0.665,6.00
71,0.672,6.00
72,0.676,4.00
73,0.683,7.00
74,0.691,7.00
75,0.693,2.00
76,0.703,9.00
77,0.711,8.00
78,0.719,7.00
79,0.723,4.00
80,0.733,9.00
81,0.735,2.00
82,0.752,16.00
83,0.759,7.00
84,0.764,5.00
85,0.774,10.00
86,0.778,3.00
87,0.786,8.00
88,0.797,11.00
89,0.803,5.00
90,0.810,6.00
91,0.816,6.00
92,0.823,6.00
93,0.827,3.00
94,0.837,10.00
95,0.843,5.00
96,0.847,4.00
97,0.859,11.00
98,0.859,0.00
99,0.859,0.00
