request_index,elapsed_s,latency_ms
0,0.019,18.00
1,0.025,5.00
2,0.030,5.00
3,0.036,5.00
4,0.041,5.00
5,0.048,6.00
6,0.053,5.00
7,0.058,4.00
8,0.064,5.00
9,0.068,4.00
10,0.074,5.00
11,0.080,6.00
12,0.086,5.00
13,0.091,5.00
14,0.097,6.00
15,0.102,4.00
16,0.108,6.00
17,0.113,5.00
18,0.118,5.00
19,0.124,5.00
20,0.132,7.00
21,0.138,5.00
22,0.143,5.00
23,0.148,5.00
24,0.153,5.00
25,0.158,5.00
26,0.163,5.00
27,0.169,5.00
28,0.174,5.00
29,0.179,4.00
30,0.185,5.00
31,0.192,7.00
32,0.198,5.00
33,0.203,5.00
34,0.210,6.00
35,0.218,7.00
36,0.224,6.00
37,0.229,5.00
38,0.235,6.00
39,0.242,6.00
40,0.247,5.00
41,0.270,22.00
42,0.281,11.00
43,0.296,14.00
44,0.309,13.00
45,0.318,8.00
46,0.326,8.00
47,0.333,7.00
48,0.341,7.00
49,0.348,6.00
50,0.357,9.00
51,0.369,12.00
52,0.375,6.00
53,0.382,7.00
54,0.392,10.00
55,0.401,8.00
56,0.408,6.00
57,0.415,7.00
58,0.421,5.00
59,0.428,6.00
60,0.436,8.00
61,0.442,6.00
62,0.448,5.00
63,0.454,5.00
64,0.459,5.00
65,0.464,5.00
66,0.471,6.00
67,0.477,6.00
68,0.484,7.00
69,0.491,6.00
70,0.496,5.00
71,0.502,6.00
72,0.508,5.00
73,0.514,6.00
74,0.524,9.00
75,0.533,9.00
76,0.541,8.00
77,0.547,5.00
78,0.554,6.00
79,0.560,6.00
80,0.566,6.00
81,0.572,5.00
82,0.578,6.00
83,0.584,6.00
84,0.598,13.00
85,0.605,6.00
86,0.636,31.00
87,0.642,5.00
88,0.648,6.00
89,0.654,5.00
90,0.660,6.00
91,0.666,5.00
92,0.673,7.00
93,0.680,6.00
94,0.686,5.00
95,0.692,5.00
96,0.698,6.00
97,0.706,8.00
98,0.714,7.00
99,0.720,6.00
