request_index,elapsed_s,latency_ms
0,0.043,43.00
1,0.057,14.00
2,0.068,10.00
3,0.087,18.00
4,0.097,9.00
5,0.105,8.00
6,0.112,7.00
7,0.121,9.00
8,0.132,11.00
9,0.140,8.00
10,0.147,6.00
11,0.152,5.00
12,0.161,8.00
13,0.206,44.00
14,0.276,69.00
15,0.316,39.00
16,0.330,14.00
17,0.339,9.00
18,0.347,7.00
19,0.355,7.00
20,0.367,12.00
21,0.403,35.00
22,0.412,9.00
23,0.419,7.00
24,0.426,6.00
25,0.432,6.00
26,0.437,4.00
27,0.443,6.00
28,0.449,6.00
29,0.457,8.00
30,0.464,6.00
31,0.470,6.00
32,0.475,5.00
33,0.481,5.00
34,0.487,5.00
35,0.494,7.00
36,0.502,8.00
37,0.511,9.00
38,0.518,6.00
39,0.523,5.00
40,0.543,19.00
41,0.551,8.00
42,0.558,6.00
43,0.565,7.00
44,0.573,7.00
45,0.578,5.00
46,0.585,6.00
47,0.591,6.00
48,0.597,5.00
49,0.603,6.00
50,0.610,7.00
51,0.617,6.00
52,0.623,6.00
53,0.630,6.00
54,0.635,5.00
55,0.640,5.00
56,0.646,6.00
57,0.652,5.00
58,0.658,5.00
59,0.664,6.00
60,0.674,10.00
61,0.684,10.00
62,0.691,6.00
63,0.698,7.00
64,0.706,7.00
65,0.714,7.00
66,0.727,12.00
67,0.736,9.00
68,0.746,9.00
69,0.758,11.00
70,0.766,8.00
71,0.773,7.00
72,0.803,29.00
73,0.810,7.00
74,0.819,9.00
75,0.828,8.00
76,0.834,6.00
77,0.842,7.00
78,0.849,6.00
79,0.858,9.00
80,0.872,14.00
81,0.890,17.00
82,0.897,7.00
83,0.905,7.00
84,0.914,9.00
85,0.922,7.00
86,0.928,6.00
87,0.936,7.00
88,0.942,6.00
89,0.949,6.00
90,0.954,5.00
91,0.965,11.00
92,0.972,7.00
93,0.979,6.00
94,0.985,5.00
95,0.990,5.00
96,0.997,6.00
97,1.003,6.00
98,1.010,7.00
99,1.016,6.00
