request_index,elapsed_s,latency_ms
0,0.010,9.00
1,0.015,5.00
2,0.020,5.00
3,0.026,5.00
4,0.031,5.00
5,0.036,5.00
6,0.042,5.00
7,0.047,5.00
8,0.052,5.00
9,0.057,4.00
10,0.062,5.00
11,0.068,5.00
12,0.073,5.00
13,0.078,5.00
14,0.083,5.00
15,0.088,5.00
16,0.093,4.00
17,0.099,5.00
18,0.105,6.00
19,0.109,4.00
20,0.114,5.00
21,0.119,4.00
22,0.125,6.00
23,0.130,4.00
24,0.135,5.00
25,0.140,5.00
26,0.144,4.00
27,0.150,5.00
28,0.154,4.00
29,0.159,4.00
30,0.165,6.00
31,0.170,4.00
32,0.175,5.00
33,0.179,4.00
34,0.185,5.00
35,0.190,4.00
36,0.196,4.00
37,0.200,4.00
38,0.205,5.00
39,0.211,5.00
40,0.215,4.00
41,0.221,5.00
42,0.225,4.00
43,0.231,5.00
44,0.237,5.00
45,0.241,4.00
46,0.263,21.00
47,0.268,5.00
48,0.273,5.00
49,0.279,5.00
50,0.284,5.00
51,0.289,5.00
52,0.294,4.00
53,0.299,4.00
54,0.304,5.00
55,0.309,5.00
56,0.315,5.00
57,0.320,5.00
58,0.324,4.00
59,0.329,4.00
60,0.334,4.00
61,0.340,5.00
62,0.346,5.00
63,0.350,4.00
64,0.356,5.00
65,0.360,4.00
66,0.365,5.00
67,0.371,5.00
68,0.376,4.00
69,0.381,5.00
70,0.386,4.00
71,0.392,6.00
72,0.397,5.00
73,0.403,5.00
74,0.407,4.00
75,0.413,5.00
76,0.418,5.00
77,0.424,5.00
78,0.428,4.00
79,0.434,5.00
80,0.439,5.00
81,0.445,5.00
82,0.449,4.00
83,0.455,5.00
84,0.459,4.00
85,0.465,5.00
86,0.470,5.00
87,0.476,5.00
88,0.480,4.00
89,0.486,5.00
90,0.491,5.00
91,0.496,5.00
92,0.512,16.00
93,0.517,4.00
94,0.523,5.00
95,0.527,4.00
96,0.533,5.00
97,0.538,4.00
98,0.543,5.00
99,0.548,4.00
